lat,lon,shakeClass,eilClass,label,source
14.20576,121.46928,viii,moderate,MODERATE,eil-2014-kmz
14.20576,121.47006,viii,high,HIGH,eil-2014-kmz
14.20576,121.47084,viii,low,LOW,eil-2014-kmz
14.20576,121.47123,viii,low,LOW,eil-2014-kmz
14.20537,121.46772,viii,moderate,MODERATE,eil-2014-kmz
14.20537,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.20537,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.20537,121.47084,viii,low,LOW,eil-2014-kmz
14.20499,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20499,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.20460,121.46772,viii,low,LOW,eil-2014-kmz
14.20460,121.46811,viii,low,LOW,eil-2014-kmz
14.20421,121.46850,viii,low,LOW,eil-2014-kmz
14.20421,121.46928,viii,low,LOW,eil-2014-kmz
14.20421,121.46967,viii,low,LOW,eil-2014-kmz
14.20421,121.47045,viii,low,LOW,eil-2014-kmz
14.20382,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.20382,121.46928,viii,low,LOW,eil-2014-kmz
14.20382,121.47006,viii,high,HIGH,eil-2014-kmz
14.20382,121.47045,viii,high,HIGH,eil-2014-kmz
14.20382,121.47123,viii,high,HIGH,eil-2014-kmz
14.20343,121.46772,viii,low,LOW,eil-2014-kmz
14.20343,121.46850,viii,low,LOW,eil-2014-kmz
14.20343,121.46889,viii,low,LOW,eil-2014-kmz
14.20343,121.46967,viii,high,HIGH,eil-2014-kmz
14.20343,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.20343,121.47084,viii,high,HIGH,eil-2014-kmz
14.20343,121.47123,viii,high,HIGH,eil-2014-kmz
14.20304,121.46734,viii,low,LOW,eil-2014-kmz
14.20304,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20304,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.20304,121.46928,viii,low,LOW,eil-2014-kmz
14.20304,121.46967,viii,high,HIGH,eil-2014-kmz
14.20304,121.47084,viii,moderate,MODERATE,eil-2014-kmz
14.20265,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20265,121.47006,viii,low,LOW,eil-2014-kmz
14.20265,121.47045,viii,low,LOW,eil-2014-kmz
14.20265,121.47123,viii,low,LOW,eil-2014-kmz
14.20226,121.46734,viii,moderate,MODERATE,eil-2014-kmz
14.20226,121.46772,viii,moderate,MODERATE,eil-2014-kmz
14.20226,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.20226,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.20226,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.20226,121.47006,viii,low,LOW,eil-2014-kmz
14.20226,121.47084,viii,low,LOW,eil-2014-kmz
14.20187,121.46734,viii,moderate,MODERATE,eil-2014-kmz
14.20187,121.46811,viii,low,LOW,eil-2014-kmz
14.20187,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.20187,121.46928,viii,low,LOW,eil-2014-kmz
14.20187,121.46967,viii,low,LOW,eil-2014-kmz
14.20187,121.47045,viii,low,LOW,eil-2014-kmz
14.20187,121.47084,viii,low,LOW,eil-2014-kmz
14.20148,121.46695,viii,low,LOW,eil-2014-kmz
14.20148,121.46772,viii,low,LOW,eil-2014-kmz
14.20148,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.20148,121.46928,viii,low,LOW,eil-2014-kmz
14.20148,121.47006,viii,low,LOW,eil-2014-kmz
14.20148,121.47045,viii,low,LOW,eil-2014-kmz
14.20148,121.47123,viii,low,LOW,eil-2014-kmz
14.20109,121.46734,viii,moderate,MODERATE,eil-2014-kmz
14.20109,121.46772,viii,moderate,MODERATE,eil-2014-kmz
14.20109,121.46850,viii,low,LOW,eil-2014-kmz
14.20109,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.20109,121.46967,viii,low,LOW,eil-2014-kmz
14.20109,121.47006,viii,low,LOW,eil-2014-kmz
14.20109,121.47084,viii,low,LOW,eil-2014-kmz
14.20109,121.47123,viii,low,LOW,eil-2014-kmz
14.20071,121.46734,viii,high,HIGH,eil-2014-kmz
14.20071,121.46811,viii,low,LOW,eil-2014-kmz
14.20071,121.46928,viii,low,LOW,eil-2014-kmz
14.20071,121.46967,viii,low,LOW,eil-2014-kmz
14.20071,121.47045,viii,low,LOW,eil-2014-kmz
14.20071,121.47084,viii,low,LOW,eil-2014-kmz
14.20032,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.20032,121.46889,viii,low,LOW,eil-2014-kmz
14.20032,121.46928,viii,low,LOW,eil-2014-kmz
14.20032,121.47006,viii,low,LOW,eil-2014-kmz
14.20032,121.47045,viii,low,LOW,eil-2014-kmz
14.20032,121.47123,viii,low,LOW,eil-2014-kmz
14.19993,121.46772,viii,moderate,MODERATE,eil-2014-kmz
14.19993,121.46850,viii,low,LOW,eil-2014-kmz
14.19993,121.46889,viii,low,LOW,eil-2014-kmz
14.19993,121.46967,viii,low,LOW,eil-2014-kmz
14.19993,121.47084,viii,moderate,MODERATE,eil-2014-kmz
14.19993,121.47123,viii,low,LOW,eil-2014-kmz
14.19954,121.46811,viii,moderate,MODERATE,eil-2014-kmz
14.19954,121.46850,viii,low,LOW,eil-2014-kmz
14.19954,121.46967,viii,low,LOW,eil-2014-kmz
14.19954,121.47045,viii,high,HIGH,eil-2014-kmz
14.19954,121.47084,viii,low,LOW,eil-2014-kmz
14.19915,121.46811,viii,low,LOW,eil-2014-kmz
14.19915,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.19915,121.46928,viii,moderate,MODERATE,eil-2014-kmz
14.19915,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.19915,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.19915,121.47123,viii,low,LOW,eil-2014-kmz
14.19876,121.46850,viii,low,LOW,eil-2014-kmz
14.19876,121.46889,viii,moderate,MODERATE,eil-2014-kmz
14.19876,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.19876,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.19876,121.47084,viii,low,LOW,eil-2014-kmz
14.19876,121.47123,viii,low,LOW,eil-2014-kmz
14.19837,121.46850,viii,low,LOW,eil-2014-kmz
14.19837,121.46928,viii,low,LOW,eil-2014-kmz
14.19837,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.19837,121.47084,viii,low,LOW,eil-2014-kmz
14.19798,121.46811,viii,low,LOW,eil-2014-kmz
14.19798,121.46889,viii,low,LOW,eil-2014-kmz
14.19798,121.46928,viii,moderate,MODERATE,eil-2014-kmz
14.19798,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.19798,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.19798,121.47123,viii,low,LOW,eil-2014-kmz
14.19759,121.46967,viii,moderate,MODERATE,eil-2014-kmz
14.19759,121.47006,viii,moderate,MODERATE,eil-2014-kmz
14.19759,121.47084,viii,low,LOW,eil-2014-kmz
14.19720,121.46850,viii,moderate,MODERATE,eil-2014-kmz
14.19720,121.47045,viii,low,LOW,eil-2014-kmz
14.19720,121.47084,viii,moderate,MODERATE,eil-2014-kmz
14.19682,121.47045,viii,moderate,MODERATE,eil-2014-kmz
14.19682,121.47123,viii,high,HIGH,eil-2014-kmz
14.19643,121.47123,viii,low,LOW,eil-2014-kmz
14.22521,121.47446,viii,low,LOW,eil-2014-kmz
14.22521,121.47484,viii,low,LOW,eil-2014-kmz
14.22521,121.47523,viii,low,LOW,eil-2014-kmz
14.22521,121.47562,viii,low,LOW,eil-2014-kmz
14.22483,121.47446,viii,low,LOW,eil-2014-kmz
14.22483,121.47484,viii,low,LOW,eil-2014-kmz
14.22483,121.47523,viii,low,LOW,eil-2014-kmz
14.22483,121.47562,viii,low,LOW,eil-2014-kmz
14.22444,121.47368,viii,low,LOW,eil-2014-kmz
14.22444,121.47484,viii,low,LOW,eil-2014-kmz
14.22444,121.47523,viii,low,LOW,eil-2014-kmz
14.22405,121.47212,viii,low,LOW,eil-2014-kmz
14.22405,121.47446,viii,low,LOW,eil-2014-kmz
14.22405,121.47484,viii,low,LOW,eil-2014-kmz
14.22366,121.47173,viii,low,LOW,eil-2014-kmz
14.22366,121.47251,viii,low,LOW,eil-2014-kmz
14.22366,121.47407,viii,moderate,MODERATE,eil-2014-kmz
14.22366,121.47446,viii,moderate,MODERATE,eil-2014-kmz
14.22327,121.47173,viii,low,LOW,eil-2014-kmz
14.22327,121.47212,viii,low,LOW,eil-2014-kmz
14.22327,121.47251,viii,low,LOW,eil-2014-kmz
14.22327,121.47329,viii,low,LOW,eil-2014-kmz
14.22327,121.47407,viii,moderate,MODERATE,eil-2014-kmz
14.22327,121.47446,viii,low,LOW,eil-2014-kmz
14.22327,121.47679,viii,low,LOW,eil-2014-kmz
14.22288,121.47173,viii,low,LOW,eil-2014-kmz
14.22288,121.47212,viii,low,LOW,eil-2014-kmz
14.22288,121.47251,viii,low,LOW,eil-2014-kmz
14.22288,121.47368,viii,low,LOW,eil-2014-kmz
14.22288,121.47407,viii,low,LOW,eil-2014-kmz
14.22288,121.47446,viii,low,LOW,eil-2014-kmz
14.22288,121.47640,viii,low,LOW,eil-2014-kmz
14.22288,121.47679,viii,low,LOW,eil-2014-kmz
14.22288,121.47718,viii,low,LOW,eil-2014-kmz
14.22249,121.47173,viii,low,LOW,eil-2014-kmz
14.22249,121.47212,viii,low,LOW,eil-2014-kmz
14.22249,121.47251,viii,low,LOW,eil-2014-kmz
14.22249,121.47368,viii,low,LOW,eil-2014-kmz
14.22249,121.47407,viii,low,LOW,eil-2014-kmz
14.22249,121.47446,viii,low,LOW,eil-2014-kmz
14.22249,121.47601,viii,low,LOW,eil-2014-kmz
14.22249,121.47640,viii,low,LOW,eil-2014-kmz
14.22249,121.47679,viii,low,LOW,eil-2014-kmz
14.22249,121.47718,viii,low,LOW,eil-2014-kmz
14.22210,121.47173,viii,low,LOW,eil-2014-kmz
14.22210,121.47212,viii,low,LOW,eil-2014-kmz
14.22210,121.47251,viii,low,LOW,eil-2014-kmz
14.22210,121.47290,viii,low,LOW,eil-2014-kmz
14.22210,121.47329,viii,low,LOW,eil-2014-kmz
14.22210,121.47368,viii,low,LOW,eil-2014-kmz
14.22210,121.47407,viii,low,LOW,eil-2014-kmz
14.22210,121.47446,viii,low,LOW,eil-2014-kmz
14.22210,121.47601,viii,low,LOW,eil-2014-kmz
14.22210,121.47640,viii,low,LOW,eil-2014-kmz
14.22210,121.47679,viii,low,LOW,eil-2014-kmz
14.22171,121.47173,viii,low,LOW,eil-2014-kmz
14.22171,121.47212,viii,low,LOW,eil-2014-kmz
14.22171,121.47251,viii,low,LOW,eil-2014-kmz
14.22171,121.47290,viii,low,LOW,eil-2014-kmz
14.22171,121.47329,viii,low,LOW,eil-2014-kmz
14.22171,121.47368,viii,low,LOW,eil-2014-kmz
14.22171,121.47407,viii,low,LOW,eil-2014-kmz
14.22171,121.47446,viii,low,LOW,eil-2014-kmz
14.22171,121.47601,viii,low,LOW,eil-2014-kmz
14.22171,121.47640,viii,low,LOW,eil-2014-kmz
14.22171,121.47679,viii,low,LOW,eil-2014-kmz
14.22132,121.47173,viii,low,LOW,eil-2014-kmz
14.22132,121.47212,viii,low,LOW,eil-2014-kmz
14.22132,121.47251,viii,low,LOW,eil-2014-kmz
14.22132,121.47290,viii,low,LOW,eil-2014-kmz
14.22132,121.47329,viii,low,LOW,eil-2014-kmz
14.22132,121.47407,viii,low,LOW,eil-2014-kmz
14.22132,121.47446,viii,low,LOW,eil-2014-kmz
14.22132,121.47484,viii,low,LOW,eil-2014-kmz
14.22132,121.47523,viii,low,LOW,eil-2014-kmz
14.22132,121.47562,viii,low,LOW,eil-2014-kmz
14.22132,121.47601,viii,low,LOW,eil-2014-kmz
14.22132,121.47640,viii,low,LOW,eil-2014-kmz
14.22132,121.47679,viii,low,LOW,eil-2014-kmz
14.22094,121.47134,viii,low,LOW,eil-2014-kmz
14.22094,121.47173,viii,low,LOW,eil-2014-kmz
14.22094,121.47212,viii,low,LOW,eil-2014-kmz
14.22094,121.47251,viii,low,LOW,eil-2014-kmz
14.22094,121.47290,viii,low,LOW,eil-2014-kmz
14.22094,121.47407,viii,low,LOW,eil-2014-kmz
14.22094,121.47446,viii,low,LOW,eil-2014-kmz
14.22094,121.47484,viii,moderate,MODERATE,eil-2014-kmz
14.22094,121.47562,viii,low,LOW,eil-2014-kmz
14.22094,121.47601,viii,low,LOW,eil-2014-kmz
14.22094,121.47640,viii,low,LOW,eil-2014-kmz
14.22094,121.47679,viii,low,LOW,eil-2014-kmz
14.22055,121.47290,viii,low,LOW,eil-2014-kmz
14.22055,121.47329,viii,low,LOW,eil-2014-kmz
14.22055,121.47368,viii,low,LOW,eil-2014-kmz
14.22055,121.47407,viii,low,LOW,eil-2014-kmz
14.22055,121.47446,viii,low,LOW,eil-2014-kmz
14.22055,121.47484,viii,moderate,MODERATE,eil-2014-kmz
14.22055,121.47562,viii,low,LOW,eil-2014-kmz
14.22055,121.47601,viii,low,LOW,eil-2014-kmz
14.22055,121.47640,viii,low,LOW,eil-2014-kmz
14.22055,121.47718,viii,low,LOW,eil-2014-kmz
